date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:51:14	11147/11147	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Jun%202025%2020:43:05%20GMT	https://ai-initiative-success-6i3qful.gamma.site/robots.txt		(from )
14:51:14	424791/424791	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2020:51:15%20GMT	https://ai-initiative-success-6i3qful.gamma.site/	C:/My%20Web%20Sites/gamma_article/ai-initiative-success-6i3qful.gamma.site/index.html	(from )
14:51:15	40422/40422	---MCZ	200	added ('OK')	text/css	etag:W/%22df9c35d3aa4737de2a5af7f7f95d1af8%22	https://assets.gammahosted.com/97xo06r1t/_next/static/css/979a50cf95f2f884.css	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/css/979a50cf95f2f884.css	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:15	2363/2363	---MCZ	200	added ('OK')	text/css	etag:W/%22093bd35a0b239dbd8b8ffd6a2901600c%22	https://assets.gammahosted.com/97xo06r1t/_next/static/css/df8aeefe55df470c.css	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/css/df8aeefe55df470c.css	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:15	7117/7117	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dbac66dbec664b50b9d5ce6c4d7e4804%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/webpack-913cf87cd0b7433e.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/webpack-913cf87cd0b7433e.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:15	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%22846118c33b2c0e922d7b3a7676f81f6f%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/polyfills-42372ed130431b0a.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:15	139955/139955	---MCZ	200	added ('OK')	application/javascript	etag:W/%225727b5d5ffdf15036b515191fb438ab0%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/framework-f2c7e757a5b67eec.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/framework-f2c7e757a5b67eec.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:16	135046/135046	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d09a752550a1a295fe91a40534574078%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/main-4d8f1dee31fd37ca.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/main-4d8f1dee31fd37ca.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:16	289/289	---M--	200	added ('OK')	application/javascript	etag:%2246796d7d8603d0444e515f3ca25c2faa%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/pages/_app-a62fa97ca4549989.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/pages/_app-a62fa97ca4549989.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:16	3400/3400	---MCZ	200	added ('OK')	application/javascript	etag:W/%2288eb4b0aedf4e3d0cb7304b7fd82ff6c%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/da690673-23bd0caa5e781332.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/da690673-23bd0caa5e781332.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:16	142328/142328	---MCZ	200	added ('OK')	application/javascript	etag:W/%2250557effe93a5fdad3ce0a19b50c24f6%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/278aa4fa-9287744023c48736.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/278aa4fa-9287744023c48736.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:16	830/830	---M--	200	added ('OK')	application/javascript	etag:%227b803194e8ce346c892bbb18e1625908%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/c9f9fe9c-b610f7ae5bd355d3.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/c9f9fe9c-b610f7ae5bd355d3.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:17	44761/44761	---MCZ	200	added ('OK')	application/javascript	etag:W/%226805cbec4aab51f44c0ac22c6539f041%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/f7f4f538-820058da5d822e4f.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/f7f4f538-820058da5d822e4f.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:17	27610/27610	---MCZ	200	added ('OK')	application/javascript	etag:W/%22094139ab95ee7362cabf6fcec2f745af%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/2c25ec24-4913759d9d1b7864.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/2c25ec24-4913759d9d1b7864.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:17	6744/6744	---MCZ	200	added ('OK')	application/javascript	etag:W/%2297ba371263be53e6df9e11a05d183948%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/9b6c5ff0-244b429a6878fb73.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/9b6c5ff0-244b429a6878fb73.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:17	69774/69774	---MCZ	200	added ('OK')	application/javascript	etag:W/%226c557851ded8125509661a4cf171393a%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/4e973673-f3a919c65ba04df5.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/4e973673-f3a919c65ba04df5.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:18	141461/141461	---MCZ	200	added ('OK')	application/javascript	etag:W/%22530a132c80159d5d55271f608e0b7a6d%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/55fae009-544b926b02cd168a.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/55fae009-544b926b02cd168a.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:18	312603/312603	---MCZ	200	added ('OK')	application/javascript	etag:W/%228f390e932aae47849ace64796acf9ca5%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/1988a2b6-89598c43bba6f1a4.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/1988a2b6-89598c43bba6f1a4.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:18	61030/61030	---MCZ	200	added ('OK')	application/javascript	etag:W/%22547a62ca61d6b349938b8da312cc768c%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/4979d384-e81d282da1b4ee13.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/4979d384-e81d282da1b4ee13.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:18	94413/94413	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e5fb75770db7a2ae7b41cf3db342f82f%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/96c0f419-c92bfee70d655207.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/96c0f419-c92bfee70d655207.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:18	106815/106815	---MCZ	200	added ('OK')	application/javascript	etag:W/%2285d5f77608e983eea186bcb699d0a2c3%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/06e06715-c49593c204b3705e.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/06e06715-c49593c204b3705e.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
14:51:19	65743/65743	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b03a418106bcd0c44fcfeaf545ce211b%22	https://assets.gammahosted.com/97xo06r1t/_next/static/chunks/9bbc76fc-a6cc0721043e3848.js	C:/My%20Web%20Sites/gamma_article/assets.gammahosted.com/97xo06r1t/_next/static/chunks/9bbc76fc-a6cc0721043e3848.js	(from https://ai-initiative-success-6i3qful.gamma.site/)
